date,num_requests,process_time_mean,process_time_min,process_time_max,cpu_mean,ram_mean
2021-01-05 16:00:00,240,31.64583333333333,10.0,270.0,6.415,4.656666666666666
2021-01-05 16:30:00,400,31.19,8.0,254.0,10.433333333333334,8.889999999999999
2021-01-05 17:00:00,367,32.34877384196185,10.0,277.0,10.349166666666669,8.043333333333333
2021-01-05 17:30:00,132,33.29545454545455,9.0,221.0,3.8333333333333335,4.656666666666666
2021-01-05 18:00:00,117,32.666666666666664,11.0,189.0,3.4833333333333334,3.3866666666666663
2021-01-05 18:30:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-05 19:00:00,3,38.333333333333336,29.0,48.0,0.1663333333333333,2.1166666666666667
2021-01-05 19:30:00,17,31.23529411764705,26.0,36.0,0.5333333333333333,1.2699999999999998
2021-01-05 20:00:00,13,44.46153846153846,28.0,216.0,0.6833333333333333,2.54
2021-01-05 20:30:00,0,0.0,0.0,0.0,0.0998333333333333,1.2699999999999998
2021-01-05 21:00:00,0,0.0,0.0,0.0,0.1166666666666666,2.1166666666666667
2021-01-05 21:30:00,0,0.0,0.0,0.0,0.1,0.4233333333333333
2021-01-05 22:00:00,0,0.0,0.0,0.0,0.1166666666666666,1.2699999999999998
2021-01-05 22:30:00,0,0.0,0.0,0.0,0.0833333333333333,1.6933333333333331
2021-01-05 23:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-05 23:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-06 00:00:00,1,35.0,35.0,35.0,0.15,1.2699999999999998
2021-01-06 00:30:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-06 01:00:00,1,19.0,19.0,19.0,0.1166666666666666,1.6933333333333331
2021-01-06 01:30:00,0,0.0,0.0,0.0,0.1333333333333333,0.8466666666666666
2021-01-06 02:00:00,1,27.0,27.0,27.0,0.1333333333333333,1.2699999999999998
2021-01-06 02:30:00,0,0.0,0.0,0.0,0.1166666666666666,1.2699999999999998
2021-01-06 03:00:00,0,0.0,0.0,0.0,0.15,1.2699999999999998
2021-01-06 03:30:00,0,0.0,0.0,0.0,0.15,0.8466666666666666
2021-01-06 04:00:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-06 04:30:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-06 05:00:00,0,0.0,0.0,0.0,0.1333333333333333,0.4233333333333333
2021-01-06 05:30:00,0,0.0,0.0,0.0,0.1,1.6933333333333331
2021-01-06 06:00:00,0,0.0,0.0,0.0,0.1166666666666666,1.2699999999999998
2021-01-06 06:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-06 07:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-06 07:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-06 08:00:00,4,31.0,30.0,32.0,0.2,2.1166666666666667
2021-01-06 08:30:00,29,32.3448275862069,8.0,155.0,0.9,0.4233333333333333
2021-01-06 09:00:00,58,31.86206896551724,14.0,152.0,1.5333333333333334,2.1166666666666667
2021-01-06 09:30:00,244,32.049180327868854,11.0,304.0,6.766666666666667,5.926666666666666
2021-01-06 10:00:00,295,31.908474576271185,8.0,246.0,8.062666666666667,5.503666666666666
2021-01-06 10:30:00,635,31.13858267716536,7.0,311.0,16.833333333333332,10.583333333333334
2021-01-06 11:00:00,593,31.701517706576727,6.0,333.0,16.616666666666667,9.313333333333333
2021-01-06 11:30:00,354,31.6864406779661,9.0,285.0,9.847166666666668,6.7733333333333325
2021-01-06 12:00:00,389,32.32133676092545,7.0,386.0,11.063833333333331,7.620333333333333
2021-01-06 12:30:00,635,31.66456692913386,8.0,362.0,18.116666666666667,10.583333333333334
2021-01-06 13:00:00,640,31.5234375,8.0,379.0,18.566666666666663,10.583666666666666
2021-01-06 13:30:00,629,33.39586645468999,8.0,401.0,18.883333333333333,10.159999999999998
2021-01-06 14:00:00,553,33.95117540687161,9.0,416.0,17.383333333333333,9.736666666666666
2021-01-06 14:30:00,101,36.3960396039604,12.0,362.0,3.482333333333333,3.3866666666666663
2021-01-06 15:00:00,206,34.29611650485437,11.0,441.0,5.7,3.81
2021-01-06 15:30:00,833,34.55702280912365,7.0,476.0,25.47416666666667,11.853666666666664
2021-01-06 16:00:00,814,34.86240786240786,9.0,482.0,25.0,11.006666666666666
2021-01-06 16:30:00,734,33.73841961852861,8.0,506.0,22.2935,11.43
2021-01-06 17:00:00,673,34.14561664190193,8.0,503.0,21.816666666666663,11.006666666666666
2021-01-06 17:30:00,405,33.74814814814815,7.0,475.0,12.666666666666666,8.889999999999999
2021-01-06 18:00:00,344,36.74418604651163,8.0,555.0,11.716666666666669,8.043333333333333
2021-01-06 18:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-06 19:00:00,1,46.0,46.0,46.0,0.15,2.1166666666666667
2021-01-06 19:30:00,0,0.0,0.0,0.0,0.1166666666666666,1.2699999999999998
2021-01-06 20:00:00,0,0.0,0.0,0.0,0.1166666666666666,1.6933333333333331
2021-01-06 20:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-06 21:00:00,0,0.0,0.0,0.0,0.1166666666666666,1.6933333333333331
2021-01-06 21:30:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-06 22:00:00,0,0.0,0.0,0.0,0.1166666666666666,1.2699999999999998
2021-01-06 22:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-06 23:00:00,1,36.0,36.0,36.0,0.1333333333333333,1.2699999999999998
2021-01-06 23:30:00,2,38.5,34.0,43.0,0.1833333333333333,1.2699999999999998
2021-01-07 00:00:00,2,40.0,39.0,41.0,0.1666666666666666,1.2699999999999998
2021-01-07 00:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 01:00:00,1,42.0,42.0,42.0,0.15,1.2699999999999998
2021-01-07 01:30:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-07 02:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-07 02:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 03:00:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-07 03:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 04:00:00,0,0.0,0.0,0.0,0.1,1.2699999999999998
2021-01-07 04:30:00,0,0.0,0.0,0.0,0.1166666666666666,0.8466666666666666
2021-01-07 05:00:00,0,0.0,0.0,0.0,0.1166666666666666,1.6933333333333331
2021-01-07 05:30:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
2021-01-07 06:00:00,0,0.0,0.0,0.0,0.1,0.8466666666666666
